buying,maint,doors,persons,lug_boot,safety,class,cluster
vhigh,vhigh,2,2,small,low,unacc,1
vhigh,vhigh,2,2,small,med,unacc,0
vhigh,vhigh,2,2,small,high,unacc,1
vhigh,vhigh,2,2,med,low,unacc,1
vhigh,vhigh,2,2,med,med,unacc,0
vhigh,vhigh,2,2,med,high,unacc,5
vhigh,vhigh,2,2,big,low,unacc,0
vhigh,vhigh,2,2,big,med,unacc,0
vhigh,vhigh,2,2,big,high,unacc,5
vhigh,vhigh,2,4,small,low,unacc,1
vhigh,vhigh,2,4,small,med,unacc,1
vhigh,vhigh,2,4,small,high,unacc,1
vhigh,vhigh,2,4,med,low,unacc,1
vhigh,vhigh,2,4,med,med,unacc,0
vhigh,vhigh,2,4,med,high,unacc,6
vhigh,vhigh,2,4,big,low,unacc,1
vhigh,vhigh,2,4,big,med,unacc,0
vhigh,vhigh,2,4,big,high,unacc,0
vhigh,vhigh,2,more,small,low,unacc,1
vhigh,vhigh,2,more,small,med,unacc,0
vhigh,vhigh,2,more,small,high,unacc,0
vhigh,vhigh,2,more,med,low,unacc,0
vhigh,vhigh,2,more,med,med,unacc,0
vhigh,vhigh,2,more,med,high,unacc,0
vhigh,vhigh,2,more,big,low,unacc,0
vhigh,vhigh,2,more,big,med,unacc,0
vhigh,vhigh,2,more,big,high,unacc,0
vhigh,vhigh,3,2,small,low,unacc,1
vhigh,vhigh,3,2,small,med,unacc,4
vhigh,vhigh,3,2,small,high,unacc,5
vhigh,vhigh,3,2,med,low,unacc,1
vhigh,vhigh,3,2,med,med,unacc,4
vhigh,vhigh,3,2,med,high,unacc,5
vhigh,vhigh,3,2,big,low,unacc,5
vhigh,vhigh,3,2,big,med,unacc,5
vhigh,vhigh,3,2,big,high,unacc,5
vhigh,vhigh,3,4,small,low,unacc,1
vhigh,vhigh,3,4,small,med,unacc,1
vhigh,vhigh,3,4,small,high,unacc,1
vhigh,vhigh,3,4,med,low,unacc,1
vhigh,vhigh,3,4,med,med,unacc,1
vhigh,vhigh,3,4,med,high,unacc,1
vhigh,vhigh,3,4,big,low,unacc,1
vhigh,vhigh,3,4,big,med,unacc,0
vhigh,vhigh,3,4,big,high,unacc,5
vhigh,vhigh,3,more,small,low,unacc,1
vhigh,vhigh,3,more,small,med,unacc,4
vhigh,vhigh,3,more,small,high,unacc,4
vhigh,vhigh,3,more,med,low,unacc,1
vhigh,vhigh,3,more,med,med,unacc,4
vhigh,vhigh,3,more,med,high,unacc,4
vhigh,vhigh,3,more,big,low,unacc,0
vhigh,vhigh,3,more,big,med,unacc,0
vhigh,vhigh,3,more,big,high,unacc,5
vhigh,vhigh,4,2,small,low,unacc,1
vhigh,vhigh,4,2,small,med,unacc,1
vhigh,vhigh,4,2,small,high,unacc,1
vhigh,vhigh,4,2,med,low,unacc,1
vhigh,vhigh,4,2,med,med,unacc,1
vhigh,vhigh,4,2,med,high,unacc,1
vhigh,vhigh,4,2,big,low,unacc,1
vhigh,vhigh,4,2,big,med,unacc,0
vhigh,vhigh,4,2,big,high,unacc,5
vhigh,vhigh,4,4,small,low,unacc,1
vhigh,vhigh,4,4,small,med,unacc,1
vhigh,vhigh,4,4,small,high,unacc,1
vhigh,vhigh,4,4,med,low,unacc,1
vhigh,vhigh,4,4,med,med,unacc,1
vhigh,vhigh,4,4,med,high,unacc,1
vhigh,vhigh,4,4,big,low,unacc,1
vhigh,vhigh,4,4,big,med,unacc,1
vhigh,vhigh,4,4,big,high,unacc,1
vhigh,vhigh,4,more,small,low,unacc,1
vhigh,vhigh,4,more,small,med,unacc,1
vhigh,vhigh,4,more,small,high,unacc,1
vhigh,vhigh,4,more,med,low,unacc,1
vhigh,vhigh,4,more,med,med,unacc,0
vhigh,vhigh,4,more,med,high,unacc,1
vhigh,vhigh,4,more,big,low,unacc,1
vhigh,vhigh,4,more,big,med,unacc,0
vhigh,vhigh,4,more,big,high,unacc,0
vhigh,vhigh,5more,2,small,low,unacc,1
vhigh,vhigh,5more,2,small,med,unacc,1
vhigh,vhigh,5more,2,small,high,unacc,1
vhigh,vhigh,5more,2,med,low,unacc,1
vhigh,vhigh,5more,2,med,med,unacc,0
vhigh,vhigh,5more,2,med,high,unacc,5
vhigh,vhigh,5more,2,big,low,unacc,1
vhigh,vhigh,5more,2,big,med,unacc,0
vhigh,vhigh,5more,2,big,high,unacc,5
vhigh,vhigh,5more,4,small,low,unacc,1
vhigh,vhigh,5more,4,small,med,unacc,1
vhigh,vhigh,5more,4,small,high,unacc,1
vhigh,vhigh,5more,4,med,low,unacc,1
vhigh,vhigh,5more,4,med,med,unacc,1
vhigh,vhigh,5more,4,med,high,unacc,1
vhigh,vhigh,5more,4,big,low,unacc,1
vhigh,vhigh,5more,4,big,med,unacc,0
vhigh,vhigh,5more,4,big,high,unacc,1
vhigh,vhigh,5more,more,small,low,unacc,1
vhigh,vhigh,5more,more,small,med,unacc,4
vhigh,vhigh,5more,more,small,high,unacc,7
vhigh,vhigh,5more,more,med,low,unacc,1
vhigh,vhigh,5more,more,med,med,unacc,0
vhigh,vhigh,5more,more,med,high,unacc,7
vhigh,vhigh,5more,more,big,low,unacc,0
vhigh,vhigh,5more,more,big,med,unacc,0
vhigh,vhigh,5more,more,big,high,unacc,0
vhigh,high,2,2,small,low,unacc,1
vhigh,high,2,2,small,med,unacc,4
vhigh,high,2,2,small,high,unacc,4
vhigh,high,2,2,med,low,unacc,3
vhigh,high,2,2,med,med,unacc,4
vhigh,high,2,2,med,high,unacc,5
vhigh,high,2,2,big,low,unacc,3
vhigh,high,2,2,big,med,unacc,0
vhigh,high,2,2,big,high,unacc,5
vhigh,high,2,4,small,low,unacc,1
vhigh,high,2,4,small,med,unacc,4
vhigh,high,2,4,small,high,unacc,1
vhigh,high,2,4,med,low,unacc,3
vhigh,high,2,4,med,med,unacc,3
vhigh,high,2,4,med,high,unacc,6
vhigh,high,2,4,big,low,unacc,3
vhigh,high,2,4,big,med,unacc,3
vhigh,high,2,4,big,high,unacc,3
vhigh,high,2,more,small,low,unacc,4
vhigh,high,2,more,small,med,unacc,4
vhigh,high,2,more,small,high,unacc,4
vhigh,high,2,more,med,low,unacc,3
vhigh,high,2,more,med,med,unacc,4
vhigh,high,2,more,med,high,unacc,4
vhigh,high,2,more,big,low,unacc,3
vhigh,high,2,more,big,med,unacc,0
vhigh,high,2,more,big,high,unacc,0
vhigh,high,3,2,small,low,unacc,2
vhigh,high,3,2,small,med,unacc,4
vhigh,high,3,2,small,high,unacc,4
vhigh,high,3,2,med,low,unacc,2
vhigh,high,3,2,med,med,unacc,4
vhigh,high,3,2,med,high,unacc,5
vhigh,high,3,2,big,low,unacc,5
vhigh,high,3,2,big,med,unacc,4
vhigh,high,3,2,big,high,unacc,5
vhigh,high,3,4,small,low,unacc,1
vhigh,high,3,4,small,med,unacc,4
vhigh,high,3,4,small,high,unacc,4
vhigh,high,3,4,med,low,unacc,1
vhigh,high,3,4,med,med,unacc,4
vhigh,high,3,4,med,high,unacc,4
vhigh,high,3,4,big,low,unacc,3
vhigh,high,3,4,big,med,unacc,4
vhigh,high,3,4,big,high,unacc,5
vhigh,high,3,more,small,low,unacc,4
vhigh,high,3,more,small,med,unacc,4
vhigh,high,3,more,small,high,unacc,4
vhigh,high,3,more,med,low,unacc,4
vhigh,high,3,more,med,med,unacc,4
vhigh,high,3,more,med,high,unacc,4
vhigh,high,3,more,big,low,unacc,4
vhigh,high,3,more,big,med,unacc,4
vhigh,high,3,more,big,high,unacc,4
vhigh,high,4,2,small,low,unacc,1
vhigh,high,4,2,small,med,unacc,4
vhigh,high,4,2,small,high,unacc,1
vhigh,high,4,2,med,low,unacc,1
vhigh,high,4,2,med,med,unacc,4
vhigh,high,4,2,med,high,unacc,5
vhigh,high,4,2,big,low,unacc,1
vhigh,high,4,2,big,med,unacc,4
vhigh,high,4,2,big,high,unacc,5
vhigh,high,4,4,small,low,unacc,1
vhigh,high,4,4,small,med,unacc,1
vhigh,high,4,4,small,high,unacc,1
vhigh,high,4,4,med,low,unacc,1
vhigh,high,4,4,med,med,unacc,1
vhigh,high,4,4,med,high,unacc,1
vhigh,high,4,4,big,low,unacc,1
vhigh,high,4,4,big,med,unacc,1
vhigh,high,4,4,big,high,unacc,1
vhigh,high,4,more,small,low,unacc,1
vhigh,high,4,more,small,med,unacc,4
vhigh,high,4,more,small,high,unacc,4
vhigh,high,4,more,med,low,unacc,1
vhigh,high,4,more,med,med,unacc,4
vhigh,high,4,more,med,high,unacc,4
vhigh,high,4,more,big,low,unacc,1
vhigh,high,4,more,big,med,unacc,4
vhigh,high,4,more,big,high,unacc,4
vhigh,high,5more,2,small,low,unacc,1
vhigh,high,5more,2,small,med,unacc,4
vhigh,high,5more,2,small,high,unacc,7
vhigh,high,5more,2,med,low,unacc,1
vhigh,high,5more,2,med,med,unacc,4
vhigh,high,5more,2,med,high,unacc,5
vhigh,high,5more,2,big,low,unacc,3
vhigh,high,5more,2,big,med,unacc,4
vhigh,high,5more,2,big,high,unacc,5
vhigh,high,5more,4,small,low,unacc,1
vhigh,high,5more,4,small,med,unacc,4
vhigh,high,5more,4,small,high,unacc,7
vhigh,high,5more,4,med,low,unacc,1
vhigh,high,5more,4,med,med,unacc,4
vhigh,high,5more,4,med,high,unacc,6
vhigh,high,5more,4,big,low,unacc,3
vhigh,high,5more,4,big,med,unacc,3
vhigh,high,5more,4,big,high,unacc,3
vhigh,high,5more,more,small,low,unacc,4
vhigh,high,5more,more,small,med,unacc,4
vhigh,high,5more,more,small,high,unacc,7
vhigh,high,5more,more,med,low,unacc,4
vhigh,high,5more,more,med,med,unacc,4
vhigh,high,5more,more,med,high,unacc,7
vhigh,high,5more,more,big,low,unacc,3
vhigh,high,5more,more,big,med,unacc,4
vhigh,high,5more,more,big,high,unacc,7
vhigh,med,2,2,small,low,unacc,1
vhigh,med,2,2,small,med,unacc,4
vhigh,med,2,2,small,high,unacc,5
vhigh,med,2,2,med,low,unacc,1
vhigh,med,2,2,med,med,unacc,0
vhigh,med,2,2,med,high,unacc,5
vhigh,med,2,2,big,low,unacc,3
vhigh,med,2,2,big,med,unacc,0
vhigh,med,2,2,big,high,unacc,5
vhigh,med,2,4,small,low,unacc,1
vhigh,med,2,4,small,med,unacc,1
vhigh,med,2,4,small,high,acc,1
vhigh,med,2,4,med,low,unacc,1
vhigh,med,2,4,med,med,unacc,6
vhigh,med,2,4,med,high,acc,6
vhigh,med,2,4,big,low,unacc,3
vhigh,med,2,4,big,med,acc,0
vhigh,med,2,4,big,high,acc,3
vhigh,med,2,more,small,low,unacc,1
vhigh,med,2,more,small,med,unacc,4
vhigh,med,2,more,small,high,unacc,4
vhigh,med,2,more,med,low,unacc,0
vhigh,med,2,more,med,med,unacc,0
vhigh,med,2,more,med,high,acc,6
vhigh,med,2,more,big,low,unacc,0
vhigh,med,2,more,big,med,acc,0
vhigh,med,2,more,big,high,acc,0
vhigh,med,3,2,small,low,unacc,2
vhigh,med,3,2,small,med,unacc,4
vhigh,med,3,2,small,high,unacc,5
vhigh,med,3,2,med,low,unacc,2
vhigh,med,3,2,med,med,unacc,4
vhigh,med,3,2,med,high,unacc,5
vhigh,med,3,2,big,low,unacc,5
vhigh,med,3,2,big,med,unacc,5
vhigh,med,3,2,big,high,unacc,5
vhigh,med,3,4,small,low,unacc,1
vhigh,med,3,4,small,med,unacc,4
vhigh,med,3,4,small,high,acc,1
vhigh,med,3,4,med,low,unacc,1
vhigh,med,3,4,med,med,unacc,4
vhigh,med,3,4,med,high,acc,5
vhigh,med,3,4,big,low,unacc,1
vhigh,med,3,4,big,med,acc,4
vhigh,med,3,4,big,high,acc,5
vhigh,med,3,more,small,low,unacc,4
vhigh,med,3,more,small,med,unacc,4
vhigh,med,3,more,small,high,acc,4
vhigh,med,3,more,med,low,unacc,4
vhigh,med,3,more,med,med,acc,4
vhigh,med,3,more,med,high,acc,4
vhigh,med,3,more,big,low,unacc,4
vhigh,med,3,more,big,med,acc,4
vhigh,med,3,more,big,high,acc,5
vhigh,med,4,2,small,low,unacc,1
vhigh,med,4,2,small,med,unacc,1
vhigh,med,4,2,small,high,unacc,1
vhigh,med,4,2,med,low,unacc,1
vhigh,med,4,2,med,med,unacc,1
vhigh,med,4,2,med,high,unacc,5
vhigh,med,4,2,big,low,unacc,1
vhigh,med,4,2,big,med,unacc,5
vhigh,med,4,2,big,high,unacc,5
vhigh,med,4,4,small,low,unacc,1
vhigh,med,4,4,small,med,unacc,1
vhigh,med,4,4,small,high,acc,1
vhigh,med,4,4,med,low,unacc,1
vhigh,med,4,4,med,med,acc,1
vhigh,med,4,4,med,high,acc,1
vhigh,med,4,4,big,low,unacc,1
vhigh,med,4,4,big,med,acc,1
vhigh,med,4,4,big,high,acc,1
vhigh,med,4,more,small,low,unacc,1
vhigh,med,4,more,small,med,unacc,4
vhigh,med,4,more,small,high,acc,1
vhigh,med,4,more,med,low,unacc,1
vhigh,med,4,more,med,med,acc,4
vhigh,med,4,more,med,high,acc,1
vhigh,med,4,more,big,low,unacc,1
vhigh,med,4,more,big,med,acc,0
vhigh,med,4,more,big,high,acc,5
vhigh,med,5more,2,small,low,unacc,1
vhigh,med,5more,2,small,med,unacc,4
vhigh,med,5more,2,small,high,unacc,5
vhigh,med,5more,2,med,low,unacc,1
vhigh,med,5more,2,med,med,unacc,4
vhigh,med,5more,2,med,high,unacc,5
vhigh,med,5more,2,big,low,unacc,5
vhigh,med,5more,2,big,med,unacc,5
vhigh,med,5more,2,big,high,unacc,5
vhigh,med,5more,4,small,low,unacc,1
vhigh,med,5more,4,small,med,unacc,1
vhigh,med,5more,4,small,high,acc,1
vhigh,med,5more,4,med,low,unacc,1
vhigh,med,5more,4,med,med,acc,1
vhigh,med,5more,4,med,high,acc,6
vhigh,med,5more,4,big,low,unacc,1
vhigh,med,5more,4,big,med,acc,0
vhigh,med,5more,4,big,high,acc,5
vhigh,med,5more,more,small,low,unacc,1
vhigh,med,5more,more,small,med,unacc,4
vhigh,med,5more,more,small,high,acc,7
vhigh,med,5more,more,med,low,unacc,1
vhigh,med,5more,more,med,med,acc,4
vhigh,med,5more,more,med,high,acc,7
vhigh,med,5more,more,big,low,unacc,0
vhigh,med,5more,more,big,med,acc,0
vhigh,med,5more,more,big,high,acc,5
vhigh,low,2,2,small,low,unacc,2
vhigh,low,2,2,small,med,unacc,2
vhigh,low,2,2,small,high,unacc,5
vhigh,low,2,2,med,low,unacc,2
vhigh,low,2,2,med,med,unacc,5
vhigh,low,2,2,med,high,unacc,5
vhigh,low,2,2,big,low,unacc,5
vhigh,low,2,2,big,med,unacc,5
vhigh,low,2,2,big,high,unacc,5
vhigh,low,2,4,small,low,unacc,1
vhigh,low,2,4,small,med,unacc,1
vhigh,low,2,4,small,high,acc,6
vhigh,low,2,4,med,low,unacc,6
vhigh,low,2,4,med,med,unacc,6
vhigh,low,2,4,med,high,acc,6
vhigh,low,2,4,big,low,unacc,3
vhigh,low,2,4,big,med,acc,0
vhigh,low,2,4,big,high,acc,5
vhigh,low,2,more,small,low,unacc,1
vhigh,low,2,more,small,med,unacc,4
vhigh,low,2,more,small,high,unacc,4
vhigh,low,2,more,med,low,unacc,6
vhigh,low,2,more,med,med,unacc,0
vhigh,low,2,more,med,high,acc,6
vhigh,low,2,more,big,low,unacc,0
vhigh,low,2,more,big,med,acc,0
vhigh,low,2,more,big,high,acc,5
vhigh,low,3,2,small,low,unacc,2
vhigh,low,3,2,small,med,unacc,2
vhigh,low,3,2,small,high,unacc,5
vhigh,low,3,2,med,low,unacc,2
vhigh,low,3,2,med,med,unacc,5
vhigh,low,3,2,med,high,unacc,5
vhigh,low,3,2,big,low,unacc,5
vhigh,low,3,2,big,med,unacc,5
vhigh,low,3,2,big,high,unacc,5
vhigh,low,3,4,small,low,unacc,1
vhigh,low,3,4,small,med,unacc,4
vhigh,low,3,4,small,high,acc,5
vhigh,low,3,4,med,low,unacc,1
vhigh,low,3,4,med,med,unacc,4
vhigh,low,3,4,med,high,acc,5
vhigh,low,3,4,big,low,unacc,5
vhigh,low,3,4,big,med,acc,5
vhigh,low,3,4,big,high,acc,5
vhigh,low,3,more,small,low,unacc,2
vhigh,low,3,more,small,med,unacc,4
vhigh,low,3,more,small,high,acc,4
vhigh,low,3,more,med,low,unacc,2
vhigh,low,3,more,med,med,acc,4
vhigh,low,3,more,med,high,acc,5
vhigh,low,3,more,big,low,unacc,5
vhigh,low,3,more,big,med,acc,4
